"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","objetivo"
5,3.6,1.4,0.2,"No_virginica"
5,3.4,1.5,0.2,"No_virginica"
4.4,2.9,1.4,0.2,"No_virginica"
5.1,3.5,1.4,0.3,"No_virginica"
4.7,3.2,1.6,0.2,"No_virginica"
4.8,3,1.4,0.3,"No_virginica"
5.1,3.8,1.6,0.2,"No_virginica"
4.6,3.2,1.4,0.2,"No_virginica"
6.5,2.8,4.6,1.5,"No_virginica"
6.3,3.3,4.7,1.6,"No_virginica"
5.2,2.7,3.9,1.4,"No_virginica"
5.6,2.9,3.6,1.3,"No_virginica"
6.2,2.2,4.5,1.5,"No_virginica"
6.3,2.5,4.9,1.5,"No_virginica"
6.4,2.9,4.3,1.3,"No_virginica"
6.6,3,4.4,1.4,"No_virginica"
5.5,2.5,4,1.3,"No_virginica"
5.8,2.6,4,1.2,"No_virginica"
5.7,3,4.2,1.2,"No_virginica"
5.7,2.8,4.1,1.3,"No_virginica"
5.8,2.7,5.1,1.9,"Virginica"
4.9,2.5,4.5,1.7,"Virginica"
7.3,2.9,6.3,1.8,"Virginica"
6.8,3,5.5,2.1,"Virginica"
6,2.2,5,1.5,"Virginica"
6.7,3.3,5.7,2.1,"Virginica"
7.2,3,5.8,1.6,"Virginica"
6,3,4.8,1.8,"Virginica"
6.9,3.1,5.1,2.3,"Virginica"
6.7,3,5.2,2.3,"Virginica"
