"Fila_test","Clase_real","Clase_predicha","Probabilidad_Virginica","Acierto"
"5","No_virginica","No_virginica",0.00889097027146313,TRUE
"8","No_virginica","No_virginica",0.00881209412119754,TRUE
"9","No_virginica","No_virginica",0.0120901685977345,TRUE
"18","No_virginica","No_virginica",0.00873263160666415,TRUE
"30","No_virginica","No_virginica",0.00958326068826931,TRUE
"46","No_virginica","No_virginica",0.010962466728161,TRUE
"47","No_virginica","No_virginica",0.0104817729246087,TRUE
"48","No_virginica","No_virginica",0.00948517634918833,TRUE
"55","No_virginica","No_virginica",0.0580385470132253,TRUE
"57","No_virginica","No_virginica",0.0401891431016129,TRUE
"60","No_virginica","No_virginica",0.0179646391830025,TRUE
"65","No_virginica","No_virginica",0.00218713698373219,TRUE
"69","No_virginica","No_virginica",0.0501530140539564,TRUE
"73","No_virginica","No_virginica",0.435500964681189,TRUE
"75","No_virginica","No_virginica",0.00185687100270027,TRUE
"76","No_virginica","No_virginica",0.00246136183494183,TRUE
"90","No_virginica","No_virginica",0.0135843303553154,TRUE
"93","No_virginica","No_virginica",0.00564209295358054,TRUE
"96","No_virginica","No_virginica",0.00107672459946861,TRUE
"100","No_virginica","No_virginica",0.00438675870620153,TRUE
"102","Virginica","Virginica",0.991524897752179,TRUE
"107","Virginica","No_virginica",0.166275368900593,FALSE
"108","Virginica","Virginica",0.970494505982518,TRUE
"113","Virginica","Virginica",0.994426030360865,TRUE
"120","Virginica","No_virginica",0.137573023370063,FALSE
"125","Virginica","Virginica",0.994172525564332,TRUE
"130","Virginica","Virginica",0.688459796256334,TRUE
"139","Virginica","Virginica",0.804784752556203,TRUE
"142","Virginica","Virginica",0.98332924275635,TRUE
"146","Virginica","Virginica",0.994799137844495,TRUE
