"id_fila_original","Month","Day","Ozone","Solar.R","Wind","Temp"
1,"Mayo",1,41,190,7.4,67
2,"Mayo",2,36,118,8,72
3,"Mayo",3,12,149,12.6,74
4,"Mayo",4,18,313,11.5,62
5,"Mayo",5,31.5,205,14.3,56
6,"Mayo",6,28,205,14.9,66
7,"Mayo",7,23,299,8.6,65
8,"Mayo",8,19,99,13.8,59
9,"Mayo",9,8,19,20.1,61
10,"Mayo",10,31.5,194,8.6,69
11,"Mayo",11,7,205,6.9,74
12,"Mayo",12,16,256,9.7,69
13,"Mayo",13,11,290,9.2,66
14,"Mayo",14,14,274,10.9,68
15,"Mayo",15,18,65,13.2,58
16,"Mayo",16,14,334,11.5,64
17,"Mayo",17,34,307,12,66
18,"Mayo",18,6,78,18.4,57
19,"Mayo",19,30,322,11.5,68
20,"Mayo",20,11,44,9.7,62
21,"Mayo",21,1,8,9.7,59
22,"Mayo",22,11,320,16.6,73
23,"Mayo",23,4,25,9.7,61
24,"Mayo",24,32,92,12,61
25,"Mayo",25,31.5,66,16.6,57
26,"Mayo",26,31.5,266,14.9,58
27,"Mayo",27,31.5,205,8,57
28,"Mayo",28,23,13,12,67
29,"Mayo",29,45,252,14.9,81
30,"Mayo",30,115,223,5.7,79
31,"Mayo",31,37,279,7.4,76
32,"Junio",1,31.5,286,8.6,78
33,"Junio",2,31.5,287,9.7,74
34,"Junio",3,31.5,242,16.1,67
35,"Junio",4,31.5,186,9.2,84
36,"Junio",5,31.5,220,8.6,85
37,"Junio",6,31.5,264,14.3,79
38,"Junio",7,29,127,9.7,82
39,"Junio",8,31.5,273,6.9,87
40,"Junio",9,71,291,13.8,90
41,"Junio",10,39,323,11.5,87
42,"Junio",11,31.5,259,10.9,93
43,"Junio",12,31.5,250,9.2,92
44,"Junio",13,23,148,8,82
45,"Junio",14,31.5,332,13.8,80
46,"Junio",15,31.5,322,11.5,79
47,"Junio",16,21,191,14.9,77
48,"Junio",17,37,284,20.7,72
49,"Junio",18,20,37,9.2,65
50,"Junio",19,12,120,11.5,73
51,"Junio",20,13,137,10.3,76
52,"Junio",21,31.5,150,6.3,77
53,"Junio",22,31.5,59,1.7,76
54,"Junio",23,31.5,91,4.6,76
55,"Junio",24,31.5,250,6.3,76
56,"Junio",25,31.5,135,8,75
57,"Junio",26,31.5,127,8,78
58,"Junio",27,31.5,47,10.3,73
59,"Junio",28,31.5,98,11.5,80
60,"Junio",29,31.5,31,14.9,77
61,"Junio",30,31.5,138,8,83
62,"Julio",1,135,269,4.1,84
63,"Julio",2,49,248,9.2,85
64,"Julio",3,32,236,9.2,81
65,"Julio",4,31.5,101,10.9,84
66,"Julio",5,64,175,4.6,83
67,"Julio",6,40,314,10.9,83
68,"Julio",7,77,276,5.1,88
69,"Julio",8,97,267,6.3,92
70,"Julio",9,97,272,5.7,92
71,"Julio",10,85,175,7.4,89
72,"Julio",11,31.5,139,8.6,82
73,"Julio",12,10,264,14.3,73
74,"Julio",13,27,175,14.9,81
75,"Julio",14,31.5,291,14.9,91
76,"Julio",15,7,48,14.3,80
77,"Julio",16,48,260,6.9,81
78,"Julio",17,35,274,10.3,82
79,"Julio",18,61,285,6.3,84
80,"Julio",19,79,187,5.1,87
81,"Julio",20,63,220,11.5,85
82,"Julio",21,16,7,6.9,74
83,"Julio",22,31.5,258,9.7,81
84,"Julio",23,31.5,295,11.5,82
85,"Julio",24,80,294,8.6,86
86,"Julio",25,108,223,8,85
87,"Julio",26,20,81,8.6,82
88,"Julio",27,52,82,12,86
89,"Julio",28,82,213,7.4,88
90,"Julio",29,50,275,7.4,86
91,"Julio",30,64,253,7.4,83
92,"Julio",31,59,254,9.2,81
93,"Agosto",1,39,83,6.9,81
94,"Agosto",2,9,24,13.8,81
95,"Agosto",3,16,77,7.4,82
96,"Agosto",4,78,205,6.9,86
97,"Agosto",5,35,205,7.4,85
98,"Agosto",6,66,205,4.6,87
99,"Agosto",7,122,255,4,89
100,"Agosto",8,89,229,10.3,90
101,"Agosto",9,110,207,8,90
102,"Agosto",10,31.5,222,8.6,92
103,"Agosto",11,31.5,137,11.5,86
104,"Agosto",12,44,192,11.5,86
105,"Agosto",13,28,273,11.5,82
106,"Agosto",14,65,157,9.7,80
107,"Agosto",15,31.5,64,11.5,79
108,"Agosto",16,22,71,10.3,77
109,"Agosto",17,59,51,6.3,79
110,"Agosto",18,23,115,7.4,76
111,"Agosto",19,31,244,10.9,78
112,"Agosto",20,44,190,10.3,78
113,"Agosto",21,21,259,15.5,77
114,"Agosto",22,9,36,14.3,72
115,"Agosto",23,31.5,255,12.6,75
116,"Agosto",24,45,212,9.7,79
117,"Agosto",25,168,238,3.4,81
118,"Agosto",26,73,215,8,86
119,"Agosto",27,31.5,153,5.7,88
120,"Agosto",28,76,203,9.7,97
121,"Agosto",29,118,225,2.3,94
122,"Agosto",30,84,237,6.3,96
123,"Agosto",31,85,188,6.3,94
124,"Septiembre",1,96,167,6.9,91
125,"Septiembre",2,78,197,5.1,92
126,"Septiembre",3,73,183,2.8,93
127,"Septiembre",4,91,189,4.6,93
128,"Septiembre",5,47,95,7.4,87
129,"Septiembre",6,32,92,15.5,84
130,"Septiembre",7,20,252,10.9,80
131,"Septiembre",8,23,220,10.3,78
132,"Septiembre",9,21,230,10.9,75
133,"Septiembre",10,24,259,9.7,73
134,"Septiembre",11,44,236,14.9,81
135,"Septiembre",12,21,259,15.5,76
136,"Septiembre",13,28,238,6.3,77
137,"Septiembre",14,9,24,10.9,71
138,"Septiembre",15,13,112,11.5,71
139,"Septiembre",16,46,237,6.9,78
140,"Septiembre",17,18,224,13.8,67
141,"Septiembre",18,13,27,10.3,76
142,"Septiembre",19,24,238,10.3,68
143,"Septiembre",20,16,201,8,82
144,"Septiembre",21,13,238,12.6,64
145,"Septiembre",22,23,14,9.2,71
146,"Septiembre",23,36,139,10.3,81
147,"Septiembre",24,7,49,10.3,69
148,"Septiembre",25,14,20,16.6,63
149,"Septiembre",26,30,193,6.9,70
150,"Septiembre",27,31.5,145,13.2,77
151,"Septiembre",28,14,191,14.3,75
152,"Septiembre",29,18,131,8,76
153,"Septiembre",30,20,223,11.5,68
