"Dimension","Autovalor","Porcentaje","Porcentaje_acumulado"
"Dimension_1",330.406612669824,54.3431890891512,54.3431890891512
"Dimension_2",144.665840008856,23.7937220287969,78.1369111179481
"Dimension_3",75.833571930282,12.4726260936891,90.6095372116372
"Dimension_4",57.0939991479572,9.39045973227473,99.9999969439119
"Dimension_5",1.57605636772155e-06,2.59219779271916e-07,99.9999972031317
"Dimension_6",1.2461963228188e-06,2.04966486190825e-07,99.9999974080982
"Dimension_7",9.76615647112645e-07,1.60627562353002e-07,99.9999975687257
"Dimension_8",7.67800079547175e-07,1.26282899026579e-07,99.9999976950086
"Dimension_9",7.50311183272396e-07,1.23406436023793e-07,99.9999978184151
"Dimension_10",6.18500070788209e-07,1.01726978243274e-07,99.999997920142
"Dimension_11",5.65533206619705e-07,9.30153235590357e-08,99.9999980131574
"Dimension_12",5.2904561766619e-07,8.70140757937873e-08,99.9999981001714
"Dimension_13",4.7633372664773e-07,7.83443574799912e-08,99.9999981785158
"Dimension_14",4.16028559141302e-07,6.84257450939563e-08,99.9999982469415
"Dimension_15",3.50292172504525e-07,5.76138401500024e-08,99.9999983045554
"Dimension_16",3.18645646028733e-07,5.24088197105132e-08,99.9999983569642
"Dimension_17",3.09382650411293e-07,5.08853008005768e-08,99.9999984078495
"Dimension_18",2.77620632690412e-07,4.56612850918366e-08,99.9999984535108
"Dimension_19",2.51594164765188e-07,4.13806163232712e-08,99.9999984948914
"Dimension_20",2.37878823740701e-07,3.91248038118532e-08,99.9999985340162
"Dimension_21",2.25213517642766e-07,3.70416944013285e-08,99.9999985710579
"Dimension_22",2.23172531462916e-07,3.67060059082814e-08,99.9999986077639
"Dimension_23",2.10116051572772e-07,3.45585587074657e-08,99.9999986423225
"Dimension_24",2.01166773898315e-07,3.30866381398215e-08,99.9999986754091
"Dimension_25",1.99732576697928e-07,3.28507504588155e-08,99.9999987082599
"Dimension_26",1.8998351144577e-07,3.12472858908411e-08,99.9999987395071
"Dimension_27",1.80647109935015e-07,2.97116936440292e-08,99.9999987692188
"Dimension_28",1.6582167702007e-07,2.7273300242289e-08,99.9999987964921
"Dimension_29",1.60945249177254e-07,2.64712562450445e-08,99.9999988229634
"Dimension_30",1.53964677612709e-07,2.53231360018776e-08,99.9999988482865
"Dimension_31",1.49320366184414e-07,2.45592690438367e-08,99.9999988728458
"Dimension_32",1.40638897537076e-07,2.31313960104803e-08,99.9999988959772
"Dimension_33",1.39229344577739e-07,2.2899561658312e-08,99.9999989188768
"Dimension_34",1.37921265097312e-07,2.26844170219076e-08,99.9999989415612
"Dimension_35",1.29891113636522e-07,2.1363668518353e-08,99.9999989629248
"Dimension_36",1.25740731177044e-07,2.06810398718945e-08,99.9999989836059
"Dimension_37",1.20128881759507e-07,1.97580383872306e-08,99.9999990033639
"Dimension_38",1.18012761156566e-07,1.9409992259667e-08,99.9999990227739
"Dimension_39",1.15602425864358e-07,1.90135555615807e-08,99.9999990417875
"Dimension_40",1.12686360725028e-07,1.85339396181151e-08,99.9999990603214
"Dimension_41",1.1057910117062e-07,1.81873508997485e-08,99.9999990785088
"Dimension_42",1.09570251294721e-07,1.80214216553985e-08,99.9999990965302
"Dimension_43",1.04693334410462e-07,1.72192972237116e-08,99.9999991137495
"Dimension_44",1.02265718339638e-07,1.68200182924982e-08,99.9999991305695
"Dimension_45",1.01177965467623e-07,1.66411115825856e-08,99.9999991472106
"Dimension_46",9.87903577625903e-08,1.62484129742348e-08,99.999999163459
"Dimension_47",9.74897945151808e-08,1.603450456028e-08,99.9999991794935
"Dimension_48",9.5458915322674e-08,1.57004784005618e-08,99.999999195194
"Dimension_49",9.30288774568923e-08,1.5300801147837e-08,99.9999992104948
"Dimension_50",9.1436016552697e-08,1.50388174647323e-08,99.9999992255336
"Dimension_51",9.05688896410437e-08,1.48961979168258e-08,99.9999992404298
"Dimension_52",8.81832753312584e-08,1.45038271695127e-08,99.9999992549336
"Dimension_53",8.64221820310489e-08,1.42141736863588e-08,99.9999992691478
"Dimension_54",8.43325730211224e-08,1.38704880178691e-08,99.9999992830183
"Dimension_55",8.26459536428091e-08,1.3593083534174e-08,99.9999992966114
